423,41.8808,-87.6298
1202,41.89,-87.6343
635,41.9126,-87.6813
73,41.7879,-87.5882
48,41.7073,-87.6076
216,41.9181,-87.657
260,41.8954,-87.7061
542,41.902,-87.6883
644,42.0123,-87.6882
193,41.6892,-87.5429
81,41.7999,-87.7
530,41.7953,-87.5965
593,41.8715,-87.6699
222,41.9159,-87.6772
399,41.9376,-87.6441
214,41.9364,-87.6476
1330,41.8971,-87.6235
400,41.9455,-87.6464
1080,41.7737,-87.6056
76,41.8082,-87.6772
88,41.961,-87.7289
936,41.6599,-87.5499
566,41.7372,-87.5726
114,41.78,-87.65
485,41.8579,-87.6685
191,41.8859,-87.6671
1184,41.9732,-87.6546
1173,41.8746,-87.657
564,41.858,-87.6409
1267,41.8865,-87.6584
784,41.9029,-87.6837
906,41.8758,-87.6407
657,42.0192,-87.6845
182,41.7591,-87.5957
1118,41.9215,-87.7073
667,41.7465,-87.5859
177,41.8056,-87.6833
1346,41.7445,-87.565
1244,41.8999,-87.7199
161,41.8922,-87.6121
730,41.7887,-87.6012
369,41.8991,-87.6721
1055,41.94,-87.6455
926,41.8832,-87.6487
358,41.8568,-87.6339
1032,41.8686,-87.6862
393,41.9533,-87.7319
964,41.9294,-87.6841
918,41.7898,-87.6546
507,41.7583,-87.6141
68,41.7616,-87.644
172,41.78,-87.6297
10,41.8234,-87.6655
486,41.75,-87.5699
1381,41.75,-87.6299
384,41.935,-87.78
141,41.8599,-87.73
220,41.7299,-87.5999
609,41.78,-87.7199
457,41.9099,-87.7399
532,41.84,-87.7349
79,41.78,-87.7249
1273,41.9799,-87.7
469,41.95,-87.78
551,41.9699,-87.7
1372,41.84,-87.73
388,41.9099,-87.78
776,41.8949,-87.75
752,41.88,-87.7199
747,41.78,-87.64
1312,41.82,-87.6099
381,41.77,-87.6599
621,41.8599,-87.7199
754,41.78,-87.7099
372,41.78,-87.5999
357,41.89,-87.6949
404,42,-87.7
143,41.8699,-87.7
435,42.0099,-87.7
1137,41.9699,-87.7399
693,41.9399,-87.78
